sexo,idade,altura,peso,historico_obesidade_familia,consome_comida_calorica,consome_vegetais,n_refeicoes,come_entre_refeicoes,fuma,consumo_diario_agua,frequencia_atividade_fisica,tempo_usando_eletronicos,consumo_alcool,tipo_transporte
M,23.0,1.706525,,sim,sim,2.0,3.0,as vezes,nao,1.530493,,1.0,nao,transporte publico
,29.153907,1.773656,87.070234,nao,sim,1.595746,3.618722,as vezes,nao,1.274389,1.504003,0.370067,nao,carro
F,25.706285,1.585547,80.351263,sim,sim,2.0,1.0,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
F,18.907514,1.65,82.01831,sim,sim,3.0,3.0,as vezes,nao,1.0,0.215187,1.195929,nao,transporte publico
M,23.0,1.74,105.0,sim,sim,3.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,transporte publico
M,17.6739,1.738465,97.185474,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.233314,nao,transporte publico
M,22.283082,1.870931,89.251639,sim,sim,2.0,2.799979,as vezes,nao,1.081333,0.444347,1.0,as vezes,transporte publico
M,23.0,,94.790579,sim,sim,2.0,3.0,as vezes,nao,1.490613,0.654316,1.0,nao,transporte publico
F,38.952866,1.568441,62.855073,sim,sim,2.002796,3.0,as vezes,,2.526775,0.271174,0.806069,as vezes,carro
F,21.030909,1.71818,133.466763,sim,sim,3.0,3.0,as vezes,nao,1.517215,1.486289,0.937492,as vezes,transporte publico
F,26.0,1.618867,,sim,sim,3.0,3.0,as vezes,nao,2.618198,0.0,0.380695,as vezes,transporte publico
M,21.00829,1.621412,70.0,nao,sim,2.0,1.0,nao,nao,2.795651,0.80873,0.0,as vezes,transporte publico
F,24.0,1.5,63.0,sim,nao,2.0,1.0,as vezes,,2.0,0.0,0.0,nao,transporte publico
F,23.0,1.728834,51.442293,sim,sim,2.0,3.0,frequentemente,nao,1.229915,0.619533,2.0,nao,transporte publico
M,28.704462,1.762887,113.90198,sim,,2.323351,3.0,,nao,2.165048,0.0,1.493716,as vezes,carro
,26.0,1.610636,105.423532,sim,sim,3.0,3.0,as vezes,nao,2.180566,0.0,0.519905,as vezes,transporte publico
M,22.906886,1.81955,120.775439,sim,sim,2.636719,2.806341,as vezes,nao,1.967591,1.525384,0.315595,as vezes,transporte publico
F,32.501143,1.675979,74.959747,sim,sim,2.291846,1.555557,as vezes,nao,1.0,0.0,0.388271,as vezes,carro
M,18.0,1.74,,nao,nao,3.0,3.0,as vezes,nao,2.0,3.0,0.0,nao,transporte publico
F,21.008051,1.65,88.126544,sim,sim,2.457547,1.00061,as vezes,nao,3.0,1.361533,1.0,nao,transporte publico
M,19.0,1.89,87.0,nao,sim,2.0,4.0,frequentemente,nao,2.0,3.0,1.0,frequentemente,carro
M,26.740655,1.863883,120.202596,sim,sim,2.247795,3.0,as vezes,nao,2.816015,0.712726,0.0,as vezes,transporte publico
F,21.708354,1.704167,50.165754,sim,sim,2.969205,3.21043,frequentemente,nao,2.765876,0.611037,,nao,transporte publico
F,21.282238,1.748951,133.662583,sim,sim,3.0,3.0,as vezes,nao,2.247979,1.609938,0.849236,as vezes,transporte publico
F,26.0,1.583889,110.545378,sim,sim,3.0,3.0,as vezes,nao,2.578292,0.0,0.492394,as vezes,transporte publico
F,26.0,1.61739,105.013901,sim,sim,3.0,3.0,as vezes,nao,1.292479,0.0,0.541309,as vezes,transporte publico
M,23.118327,1.677573,75.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.334579,1.905826,as vezes,transporte publico
F,18.741188,1.556789,71.788181,sim,nao,3.0,3.129155,as vezes,nao,2.0,1.634134,1.0,nao,transporte publico
M,27.394123,1.764138,112.323213,sim,sim,1.924632,3.0,as vezes,nao,2.006595,0.1768,0.511694,as vezes,carro
F,26.208134,1.7,78.041338,sim,sim,2.784383,3.0,as vezes,nao,2.165605,0.855973,0.839659,frequentemente,carro
M,18.0,1.70165,50.157707,sim,sim,1.757466,3.0,as vezes,nao,1.153559,,1.616045,as vezes,transporte publico
,17.925497,1.829142,59.933015,sim,sim,2.86099,4.0,as vezes,nao,2.0,2.0,0.007872,nao,carro
M,18.0,1.78,64.4,sim,sim,3.0,,frequentemente,,2.0,3.0,2.0,nao,andando
M,37.638102,1.750085,118.114184,sim,sim,,3.0,as vezes,nao,2.024035,0.131371,0.0,as vezes,carro
F,25.902283,1.669701,104.585783,sim,sim,3.0,3.0,as vezes,nao,1.570188,0.210351,0.881848,as vezes,transporte publico
M,21.033794,1.625891,70.0,nao,sim,2.0,,nao,nao,2.00876,0.63119,0.0,as vezes,
M,22.874658,1.713343,75.828119,sim,sim,2.507841,3.648194,as vezes,nao,1.279756,0.132629,1.82753,as vezes,transporte publico
M,18.0,1.72,,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
M,18.014333,1.751029,80.0,sim,sim,,2.805436,as vezes,nao,2.122884,0.045651,0.017225,frequentemente,transporte publico
F,18.281092,1.7,50.0,,sim,1.036414,3.205587,as vezes,nao,1.745959,0.115974,1.0,as vezes,transporte publico
M,24.982997,1.78968,118.436166,sim,sim,1.469384,2.996444,as vezes,nao,2.067741,1.082236,0.150544,as vezes,transporte publico
F,21.895468,1.64456,88.119139,sim,sim,2.693859,1.000283,as vezes,nao,3.0,1.201403,1.612432,nao,transporte publico
M,26.288417,1.767806,82.694689,sim,sim,1.947405,3.118013,as vezes,nao,2.136159,0.783963,0.88868,nao,transporte publico
F,37.872971,1.565366,80.0,sim,sim,2.002564,1.974233,as vezes,nao,1.935398,1.649299,0.0,as vezes,carro
F,22.0,1.64,56.0,sim,nao,3.0,3.0,as vezes,nao,2.0,0.0,0.0,nao,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
F,21.0,1.753578,77.97917,sim,sim,2.273548,2.39007,as vezes,nao,1.648404,0.874643,1.102696,as vezes,
M,25.822348,1.766626,114.187096,sim,sim,2.075321,3.0,as vezes,nao,2.144838,1.501754,0.276319,as vezes,transporte publico
F,26.595893,1.660756,78.574786,sim,sim,2.0,2.597608,as vezes,nao,2.0,0.0,0.434198,frequentemente,
M,32.29016,1.754956,120.098812,sim,sim,2.9673,3.0,as vezes,nao,2.530035,0.955317,1.339232,as vezes,carro
M,21.378039,1.718534,,sim,sim,2.0,3.0,as vezes,nao,2.0,2.721646,1.269982,nao,transporte publico
M,21.0,1.7,65.0,sim,sim,2.0,3.0,frequentemente,nao,1.0,1.0,1.0,nao,transporte publico
M,33.0,1.74,76.0,nao,nao,2.0,3.0,as vezes,nao,1.0,0.0,2.0,as vezes,andando
M,32.895637,,103.771371,sim,sim,2.902469,1.734762,as vezes,nao,2.600238,2.113992,0.584755,as vezes,carro
F,21.322097,1.751118,149.291106,sim,sim,3.0,3.0,as vezes,nao,2.309409,1.68291,0.70558,as vezes,transporte publico
F,18.019572,1.701378,50.088468,nao,sim,1.601236,3.433908,as vezes,nao,1.055019,0.819269,1.030848,as vezes,transporte publico
F,21.982942,1.748584,133.742943,sim,sim,3.0,3.0,as vezes,nao,2.00513,1.34139,0.59927,as vezes,transporte publico
M,29.622804,1.814052,109.411622,sim,,2.407817,2.070033,as vezes,nao,1.796257,1.234483,0.178708,as vezes,carro
M,24.657598,1.7088,83.520113,,sim,2.689577,2.714115,as vezes,nao,2.279214,0.970661,0.828549,as vezes,transporte publico
F,25.994949,1.593321,110.168166,sim,sim,3.0,3.0,as vezes,nao,2.447306,0.000454,0.486558,as vezes,transporte publico
F,22.909992,1.700038,80.0,sim,sim,2.0,,as vezes,nao,2.0,0.973114,1.540298,nao,transporte publico
M,23.0,1.65,66.0,nao,nao,3.0,3.0,as vezes,nao,2.0,3.0,0.0,nao,transporte publico
M,29.721964,1.918859,129.991623,sim,sim,2.041376,3.0,as vezes,nao,1.120213,1.05545,0.0,as vezes,transporte publico
M,27.266287,1.828276,120.872294,sim,sim,,3.0,as vezes,nao,2.966647,1.159598,0.758897,as vezes,transporte publico
M,40.794057,1.735851,109.889334,sim,sim,2.305349,3.169089,as vezes,nao,1.02161,0.908981,0.0,nao,carro
M,30.605225,1.75,120.0,sim,sim,2.758394,3.0,as vezes,sim,2.174248,1.079524,1.358163,as vezes,carro
M,21.834894,1.722785,94.094184,sim,sim,2.0,2.966803,as vezes,nao,2.0,0.0,1.281541,nao,transporte publico
F,26.0,1.622418,110.676343,sim,sim,3.0,3.0,as vezes,nao,2.691584,0.0,0.425473,as vezes,transporte publico
F,18.112503,1.82773,152.720545,sim,sim,3.0,3.0,as vezes,nao,2.154949,1.999897,0.957463,as vezes,transporte publico
F,26.0,1.641849,111.682693,sim,sim,3.0,3.0,as vezes,nao,2.632253,0.0,0.244205,,transporte publico
F,19.0,,49.0,sim,sim,2.0,1.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
M,16.496978,1.691206,50.0,nao,sim,2.0,1.630846,,nao,2.975528,0.548991,0.369134,as vezes,transporte publico
F,17.807828,1.518067,55.822119,nao,sim,1.773265,2.118153,as vezes,nao,1.075239,0.085388,1.915191,as vezes,transporte publico
F,21.009596,1.714193,131.866734,sim,sim,3.0,3.0,as vezes,nao,1.709556,1.592494,0.925843,as vezes,transporte publico
F,26.0,1.640125,111.539494,sim,sim,3.0,3.0,as vezes,nao,2.625537,0.0,0.162494,as vezes,transporte publico
M,18.0,1.788459,51.552595,nao,sim,2.897899,3.0,as vezes,nao,1.835545,1.162519,1.0,as vezes,transporte publico
F,25.999174,1.638218,104.810024,sim,sim,3.0,3.0,as vezes,nao,2.654636,0.069238,0.629578,as vezes,transporte publico
M,20.027764,1.611434,103.175516,sim,sim,2.983042,1.109956,as vezes,nao,1.430444,0.0,1.690901,nao,transporte publico
M,24.178638,1.86741,121.684311,sim,sim,2.954417,2.65772,as vezes,nao,2.104696,0.870056,0.0,as vezes,transporte publico
M,29.0,1.641784,89.424947,sim,sim,1.3307,3.0,as vezes,nao,1.880967,0.322013,0.0,as vezes,carro
M,30.520854,1.784049,120.644178,sim,sim,2.499108,3.0,as vezes,nao,2.040952,0.838739,0.489854,as vezes,carro
M,25.124595,1.77151,113.207124,sim,,1.457758,3.0,as vezes,nao,2.020249,1.556709,0.00133,as vezes,transporte publico
F,19.0,,49.0,sim,sim,2.0,1.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
F,19.0,1.61,62.0,sim,sim,3.0,1.0,frequentemente,nao,2.0,1.0,,frequentemente,transporte publico
F,26.0,1.643355,111.600553,sim,sim,3.0,3.0,as vezes,nao,2.652616,0.0,0.250502,as vezes,transporte publico
M,25.0,1.7,83.0,sim,sim,2.0,3.0,frequentemente,nao,2.0,0.0,1.0,as vezes,transporte publico
M,18.88485,1.699667,79.67793,sim,nao,2.735297,2.157164,as vezes,nao,1.087166,0.110174,0.003695,nao,transporte publico
M,26.0,1.83,82.0,nao,sim,2.0,3.0,sempre,nao,2.0,1.0,1.0,,transporte publico
F,18.634286,1.669354,126.088301,sim,sim,3.0,3.0,as vezes,nao,1.144539,0.922014,0.899673,as vezes,transporte publico
M,24.190896,1.7,84.849349,sim,sim,2.0,3.0,as vezes,nao,2.056053,0.0,1.0,as vezes,transporte publico
M,,1.672101,80.939733,sim,sim,2.0,2.395785,as vezes,nao,1.40077,0.788659,1.544357,nao,transporte publico
F,19.0,1.779882,80.091886,sim,sim,1.078529,1.211606,as vezes,nao,2.568063,3.0,0.817983,nao,transporte publico
M,24.679807,1.7,84.687554,sim,sim,2.0,,as vezes,nao,2.020424,0.0,1.0,as vezes,transporte publico
M,18.0,1.811189,108.800964,sim,sim,2.0,1.250548,as vezes,nao,2.121176,1.0,0.741069,nao,transporte publico
M,24.481032,1.661277,90.744965,sim,sim,1.712848,3.0,as vezes,nao,1.162153,0.458981,0.885532,nao,carro
F,23.0,1.649736,84.134712,sim,sim,2.334474,1.496776,as vezes,nao,2.776724,0.782416,0.167728,nao,transporte publico
M,17.971574,1.720379,85.0,sim,sim,2.0,3.0,as vezes,nao,2.802498,1.0,0.41758,as vezes,transporte publico
F,21.501721,1.809871,152.394739,sim,sim,3.0,3.0,as vezes,nao,2.351207,0.246831,0.91336,,transporte publico
F,29.934465,1.638744,69.242354,sim,sim,2.029634,3.0,as vezes,nao,1.827515,0.480206,0.0,as vezes,carro
F,26.0,1.654784,111.933152,sim,sim,3.0,3.0,as vezes,nao,2.770125,0.0,0.088236,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
F,20.0,1.6,57.0,nao,nao,3.0,3.0,sempre,nao,2.0,1.0,0.0,nao,andando
M,17.0,1.79,57.0,sim,sim,2.0,4.0,frequentemente,nao,2.0,2.0,1.0,nao,transporte publico
F,19.007177,1.690727,49.895716,nao,,1.212908,3.207071,as vezes,nao,1.029703,2.0,1.0,as vezes,transporte publico
F,25.0,1.63,93.0,nao,nao,3.0,4.0,sempre,nao,1.0,2.0,0.0,nao,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,22.0,1.61,67.0,sim,nao,2.0,4.0,as vezes,nao,3.0,2.0,,as vezes,transporte publico
M,37.084742,1.75,118.07381,sim,sim,2.133964,3.0,as vezes,nao,2.008361,0.202029,0.200516,as vezes,carro
M,24.5822,1.769933,117.708705,sim,sim,1.475906,2.999346,as vezes,nao,2.01943,1.046878,0.460866,as vezes,
F,28.977792,1.7,78.0,sim,sim,3.0,3.0,as vezes,nao,1.507638,1.82434,1.0,frequentemente,carro
F,20.0,1.64,49.0,nao,nao,3.0,3.0,as vezes,sim,2.0,2.0,1.0,as vezes,carro
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
F,38.378056,1.67805,,sim,sim,2.444599,3.0,as vezes,nao,1.029798,0.0,0.0,nao,carro
F,31.539393,1.657496,73.641633,sim,sim,2.0,3.0,as vezes,nao,1.0,0.0,1.112489,as vezes,carro
M,24.001196,1.603091,100.209405,sim,sim,3.0,1.02075,as vezes,nao,1.0,0.233056,1.707421,nao,transporte publico
M,33.0,1.85,97.92035,sim,sim,2.0,3.0,as vezes,nao,1.117464,1.0,0.663649,as vezes,transporte publico
F,23.0,1.710129,50.079991,sim,sim,2.0,3.0,frequentemente,nao,2.685842,0.373186,2.0,nao,transporte publico
F,36.631456,1.532322,,sim,sim,2.288604,2.845307,as vezes,nao,2.638164,0.0,0.990741,as vezes,carro
M,30.551762,1.784377,102.872505,sim,sim,2.271306,3.0,as vezes,nao,1.771198,2.0,0.413752,as vezes,carro
M,18.0,1.753349,51.457226,nao,sim,2.823179,3.0,as vezes,,1.773236,1.252472,1.0,as vezes,transporte publico
M,35.389491,1.78,100.84763,sim,sim,2.069267,1.476204,as vezes,nao,3.0,,0.092736,frequentemente,carro
M,25.523127,1.786532,114.534678,sim,sim,2.100177,3.0,as vezes,nao,2.099687,1.281165,0.247332,as vezes,transporte publico
M,34.543563,1.765188,85.0,sim,sim,,3.0,as vezes,nao,2.653831,1.96582,0.891189,nao,carro
F,20.971429,1.549311,41.557468,nao,sim,2.927218,1.0,frequentemente,nao,1.0,0.0,0.276592,as vezes,transporte publico
F,23.0,1.649736,84.134712,sim,sim,2.334474,1.496776,as vezes,nao,2.776724,0.782416,0.167728,nao,transporte publico
M,,1.92,130.0,sim,nao,2.0,3.0,as vezes,sim,1.0,1.0,0.0,as vezes,transporte publico
F,26.0,1.632377,111.946655,sim,sim,3.0,3.0,as vezes,nao,2.737091,0.0,0.037078,as vezes,transporte publico
M,33.0,1.75,85.0,nao,nao,2.0,3.0,as vezes,nao,2.0,1.0,0.0,as vezes,transporte publico
M,,1.840708,98.259423,sim,,2.333503,1.820779,as vezes,nao,2.559265,1.327193,0.481357,as vezes,carro
F,18.469086,1.741925,133.017105,sim,sim,3.0,3.0,as vezes,nao,2.474518,1.560261,0.662489,as vezes,transporte publico
M,21.0,1.62,70.0,nao,sim,2.0,1.0,nao,nao,3.0,1.0,0.0,as vezes,transporte publico
M,18.0,1.803527,108.251044,sim,sim,,1.709546,as vezes,nao,2.530157,1.0,0.6454,nao,transporte publico
M,30.444081,1.761068,118.370628,sim,sim,2.571274,3.0,as vezes,nao,2.224164,1.018158,1.152899,as vezes,carro
F,26.0,1.640745,110.919646,sim,sim,,3.0,as vezes,nao,2.666178,,0.276907,as vezes,transporte publico
M,25.486521,1.762461,115.531622,sim,sim,2.178308,3.0,as vezes,,2.165804,1.420675,1.875683,as vezes,transporte publico
F,23.090215,1.596586,80.726195,sim,sim,1.518966,1.0,as vezes,nao,2.0,0.0,1.094046,nao,
F,26.0,1.594776,110.640929,,sim,3.0,3.0,as vezes,nao,2.639816,0.0,0.452236,as vezes,transporte publico
F,21.391371,1.730636,131.902591,sim,sim,3.0,3.0,as vezes,nao,1.419136,1.700889,0.930888,as vezes,transporte publico
M,23.0,1.67,85.5,sim,sim,2.0,3.0,sempre,nao,2.0,0.0,1.0,nao,transporte publico
F,21.028989,1.748524,133.878843,sim,sim,3.0,3.0,,nao,2.868167,1.48372,0.83509,as vezes,transporte publico
M,,1.69151,102.59518,sim,sim,2.680375,1.089048,as vezes,nao,1.366238,0.181324,1.041677,nao,
M,23.0,,60.0,sim,sim,3.0,1.0,as vezes,nao,1.0,1.0,1.0,as vezes,transporte publico
M,23.360307,1.610647,100.642257,sim,sim,2.997524,1.154318,as vezes,nao,1.238057,1.1293,1.665621,nao,
F,23.0,1.75,56.0,nao,nao,3.0,3.0,frequentemente,nao,2.0,2.0,0.0,as vezes,transporte publico
M,31.630054,1.671705,90.0,sim,sim,2.467002,1.851088,as vezes,nao,2.104054,1.991565,0.0,as vezes,carro
M,24.481032,1.661277,90.744965,sim,sim,1.712848,3.0,as vezes,nao,1.162153,0.458981,0.885532,nao,carro
M,22.0,1.74,94.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,0.0,as vezes,transporte publico
F,26.0,1.583889,110.545378,sim,sim,3.0,3.0,as vezes,nao,2.578292,0.0,0.492394,as vezes,transporte publico
M,21.81119,1.71266,51.598593,sim,sim,3.0,3.156153,frequentemente,nao,,0.544784,0.256382,nao,transporte publico
F,20.941943,1.812963,138.730619,sim,sim,3.0,3.0,as vezes,nao,2.641489,0.481555,0.735201,as vezes,transporte publico
F,20.781751,1.734092,125.117633,sim,sim,3.0,3.0,as vezes,nao,1.54249,0.6277,0.450479,as vezes,transporte publico
M,26.050109,1.773115,115.089316,sim,sim,2.392179,3.0,as vezes,nao,2.16467,1.079934,1.073026,as vezes,transporte publico
F,40.0,1.561109,62.871794,sim,sim,2.948248,3.0,as vezes,nao,2.429911,0.11964,0.360193,as vezes,carro
F,26.0,1.637725,111.208963,sim,sim,3.0,3.0,as vezes,,2.70914,0.0,0.110518,as vezes,transporte publico
M,16.198153,1.691007,52.629374,nao,sim,2.0,2.000986,as vezes,nao,2.673835,0.99295,0.474836,as vezes,
F,20.843363,1.521008,67.083121,sim,,2.493448,3.0,as vezes,nao,1.849997,0.954459,1.444532,nao,transporte publico
M,20.924808,1.803245,105.686091,sim,sim,2.0,3.0,as vezes,nao,2.290368,0.001086,0.544128,as vezes,transporte publico
M,21.544554,1.84998,122.609911,sim,sim,3.0,1.971659,as vezes,nao,1.179254,0.178856,0.0,as vezes,transporte publico
M,21.077356,1.702002,97.971598,sim,sim,2.0,1.66338,as vezes,nao,2.0,0.0,1.865851,nao,transporte publico
F,25.998646,1.640741,104.808542,sim,sim,3.0,3.0,as vezes,nao,2.653531,0.190061,0.692343,as vezes,transporte publico
M,23.0,1.706525,,sim,sim,2.0,3.0,as vezes,nao,1.530493,,1.0,nao,transporte publico
M,17.080493,1.782756,56.029418,sim,sim,2.0,4.0,as vezes,nao,2.28525,2.0,1.162801,nao,carro
M,30.638944,,102.004554,sim,sim,2.938687,2.138375,as vezes,nao,1.251715,1.181811,0.778375,nao,transporte publico
F,18.610761,1.550723,60.628321,nao,sim,2.823179,2.644692,as vezes,nao,1.226764,0.747528,0.008899,as vezes,transporte publico
F,19.633898,1.66084,49.039794,nao,nao,2.750715,3.0,frequentemente,nao,,1.067817,1.0,as vezes,transporte publico
F,22.989846,1.65,80.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.146919,2.0,nao,transporte publico
F,20.438478,1.805803,153.149491,sim,sim,3.0,3.0,as vezes,nao,2.387991,0.850715,0.656491,as vezes,transporte publico
F,23.426036,1.739991,,sim,sim,3.0,3.0,as vezes,nao,2.837797,1.343875,0.803156,as vezes,transporte publico
F,21.868932,1.731261,78.175706,sim,sim,2.577427,1.0,as vezes,nao,2.0,,0.0,as vezes,transporte publico
M,21.0,1.72,72.0,sim,sim,3.0,3.0,sempre,nao,3.0,3.0,0.0,as vezes,carro
M,18.0,1.72,53.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.0,2.0,as vezes,transporte publico
F,31.0,1.68,63.0,sim,sim,3.0,1.0,frequentemente,nao,2.0,1.0,1.0,as vezes,carro
M,18.900253,1.750359,79.828725,sim,sim,2.0,2.228113,as vezes,nao,2.045004,1.293665,0.961806,frequentemente,transporte publico
M,27.0,1.83,99.0,sim,sim,3.0,1.0,frequentemente,nao,2.0,2.0,1.0,as vezes,andando
F,26.0,1.659557,111.999096,sim,,3.0,3.0,as vezes,nao,2.956548,0.0,0.010056,as vezes,transporte publico
F,21.376426,1.722527,50.833029,nao,nao,3.0,3.285167,frequentemente,nao,1.569082,0.545931,0.469735,as vezes,transporte publico
F,23.0,1.64,52.0,nao,sim,3.0,1.0,as vezes,nao,2.0,2.0,2.0,nao,transporte publico
M,29.827481,1.899588,124.269251,sim,sim,2.048962,3.0,as vezes,nao,2.822871,1.066169,0.0,,transporte publico
M,20.586978,1.781952,,sim,,2.0,3.0,as vezes,nao,1.689793,1.464204,0.0,nao,transporte publico
F,19.376997,1.600264,45.0,nao,nao,3.0,3.0,frequentemente,nao,2.949419,1.295697,0.0,as vezes,transporte publico
M,21.017383,1.752391,79.109637,sim,sim,,1.0,as vezes,nao,2.0,2.57223,0.0,as vezes,carro
F,22.0,1.61,,sim,sim,3.0,3.0,frequentemente,nao,3.0,1.0,0.0,nao,transporte publico
M,24.408805,1.779547,118.740035,sim,sim,2.736298,2.992903,as vezes,nao,2.045561,0.854957,0.428452,as vezes,transporte publico
F,20.534606,1.758372,79.469513,sim,sim,2.8557,1.0,as vezes,nao,2.663861,2.762711,0.783336,as vezes,transporte publico
M,24.733308,1.639383,91.267087,sim,sim,1.036159,3.0,as vezes,nao,1.0,0.344013,0.329367,as vezes,carro
F,23.0,,75.0,sim,sim,2.0,3.0,frequentemente,sim,2.0,0.0,2.0,nao,andando
M,18.0,1.811189,108.800964,sim,sim,2.0,1.250548,as vezes,nao,2.121176,1.0,0.741069,nao,transporte publico
M,21.0,,80.0,nao,nao,1.0,3.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
M,30.108216,1.841908,124.070717,sim,sim,2.467548,3.0,as vezes,nao,2.66029,0.994422,0.310394,as vezes,transporte publico
F,,1.686033,104.772164,sim,sim,3.0,3.0,as vezes,nao,1.299194,0.234303,0.946888,as vezes,
F,18.0,1.57,50.0,nao,sim,2.0,3.0,as vezes,nao,1.0,0.0,1.0,as vezes,transporte publico
M,17.0,1.74,56.0,sim,sim,2.0,3.0,as vezes,nao,2.0,2.0,1.0,nao,transporte publico
F,19.0,1.69,70.0,sim,nao,2.0,1.0,nao,nao,2.0,2.0,0.0,nao,transporte publico
F,22.654316,1.621233,82.0,sim,sim,1.063449,1.0,as vezes,nao,2.0,0.0,1.482016,as vezes,transporte publico
M,18.381382,1.722547,53.783977,sim,sim,2.0,3.131032,as vezes,nao,2.072194,1.487987,2.0,as vezes,
M,23.0,1.71,50.0,sim,sim,2.0,3.0,sempre,nao,3.0,0.0,2.0,nao,transporte publico
F,22.377998,1.699568,54.98774,sim,sim,3.0,3.0,frequentemente,nao,2.0,0.139808,0.875464,nao,transporte publico
F,22.154854,1.481682,61.373868,sim,nao,2.0,2.983297,as vezes,nao,1.453626,0.32896,0.509396,nao,transporte publico
F,17.451085,1.6,,sim,sim,3.0,2.449723,as vezes,,2.0,0.479592,1.720642,as vezes,transporte publico
F,21.938831,1.611239,67.939653,sim,sim,1.906194,3.987707,as vezes,nao,2.597746,1.922234,1.376124,as vezes,transporte publico
F,18.503343,1.683124,126.67378,sim,sim,,3.0,as vezes,nao,1.115967,1.541072,1.0,as vezes,transporte publico
F,20.908785,1.700996,126.490236,sim,sim,3.0,3.0,as vezes,nao,1.242832,0.530925,0.575969,as vezes,transporte publico
F,21.210732,1.716497,130.871127,sim,sim,3.0,3.0,as vezes,nao,1.301657,1.718543,0.947884,as vezes,transporte publico
M,25.015173,1.788239,115.382519,sim,sim,1.735664,3.0,as vezes,nao,2.041536,1.392406,0.39174,as vezes,transporte publico
F,,1.66,59.0,nao,sim,1.0,3.0,sempre,nao,2.0,3.0,0.0,nao,carro
M,26.348156,1.830317,117.75701,sim,sim,2.068834,3.0,as vezes,nao,,1.217993,0.038253,as vezes,transporte publico
F,16.834813,1.74402,50.0,nao,sim,2.19005,3.420618,as vezes,nao,1.356405,1.351996,0.98468,as vezes,transporte publico
M,25.758307,1.766547,115.45845,sim,sim,2.203962,3.0,as vezes,nao,2.15687,1.289421,1.220767,as vezes,transporte publico
F,31.793937,1.65015,73.810728,sim,sim,2.372494,2.849848,as vezes,nao,1.028538,0.675983,0.303025,as vezes,carro
M,31.783845,1.75,120.0,sim,sim,2.941627,3.0,as vezes,nao,2.318134,0.582686,1.588046,as vezes,carro
M,33.0,1.76,66.5,nao,nao,2.0,3.0,as vezes,nao,2.0,3.0,1.0,as vezes,carro
M,17.038222,1.710564,51.588874,nao,sim,2.0,2.057935,as vezes,nao,2.371015,0.288032,0.714627,as vezes,transporte publico
M,21.0,1.693628,75.0,sim,sim,2.0,3.0,as vezes,nao,1.833055,1.0,0.0,,transporte publico
F,18.469086,1.741925,133.017105,sim,sim,3.0,3.0,as vezes,nao,2.474518,1.560261,0.662489,as vezes,transporte publico
F,35.432059,1.663178,80.135167,sim,sim,,3.0,as vezes,nao,1.992548,0.039207,1.528714,nao,carro
M,17.0,1.62,69.0,sim,sim,3.0,1.0,sempre,nao,2.0,1.0,2.0,as vezes,transporte publico
F,21.0,1.618148,68.981403,sim,sim,1.142468,3.0,nao,nao,2.197732,0.827506,0.572877,as vezes,transporte publico
F,24.0,1.6,45.0,sim,nao,2.0,3.0,nao,nao,2.0,1.0,0.0,nao,transporte publico
F,37.496175,1.653088,80.0,sim,sim,2.033745,3.0,as vezes,nao,1.517225,0.0,1.517897,nao,carro
F,18.367481,1.745644,133.665587,sim,sim,3.0,,as vezes,nao,2.900857,1.508897,0.625371,,transporte publico
F,21.056059,1.730113,152.094362,sim,sim,3.0,3.0,as vezes,nao,2.374958,0.750111,0.671458,as vezes,transporte publico
F,22.154854,1.481682,61.373868,sim,nao,2.0,2.983297,as vezes,nao,1.453626,0.32896,0.509396,nao,transporte publico
F,21.322097,1.751118,149.291106,sim,sim,3.0,3.0,as vezes,nao,2.309409,1.68291,0.70558,as vezes,transporte publico
F,19.0,1.63,76.0,sim,nao,3.0,3.0,frequentemente,sim,3.0,2.0,1.0,as vezes,carro
F,,1.6,56.0,sim,sim,2.0,1.0,sempre,nao,2.0,1.0,0.0,as vezes,andando
M,24.06894,1.706912,85.743727,sim,sim,2.0,2.994198,as vezes,nao,2.747302,0.0,0.799756,as vezes,transporte publico
M,21.997335,1.65,80.0,sim,sim,2.0,3.0,as vezes,nao,2.0,0.527341,2.0,nao,transporte publico
F,26.0,1.62439,110.008636,sim,sim,3.0,3.0,as vezes,,,0.0,0.368472,as vezes,transporte publico
